date,title,content,event_type,Sentiment,symbol,Sector,Impact_Level,computed_sentiment,summary,prompt_chain_summary,route
2025-06-30,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Major technology firm acquires a smaller rival in a multi-billion dollar deal,IPO Launch,,JP Morgan Chase,Construction,Low,-0.04583333333333334,Major technology firm acquires a smaller rival in a multi-billion dollar deal,"Headline: Major technology firm acquires a smaller rival in a multi-billion dollar deal | Key points: major, technology, firm, acquires, smaller | Sentiment: negative",Innovation
2025-04-07,ASX 200 gains on strong export performance,ASX 200 gains on strong export performance,Stock Market Crash,Positive,JP Morgan Chase,Media & Entertainment,High,0.43333333333333335,ASX 200 gains on strong export performance,"Headline: ASX 200 gains on strong export performance | Key points: gains, strong, export, performance | Sentiment: positive",Innovation
2025-02-25,ASX 200 gains on strong export performance,ASX 200 gains on strong export performance,Inflation Data Release,Neutral,Microsoft,Industrials,Low,0.43333333333333335,ASX 200 gains on strong export performance,"Headline: ASX 200 gains on strong export performance | Key points: gains, strong, export, performance | Sentiment: positive",Innovation
2025-06-05,Bond yields tumble as investors seek safe havens,Bond yields tumble as investors seek safe havens,Central Bank Meeting,Positive,ExxonMobil,Telecommunications,Medium,0.5,Bond yields tumble as investors seek safe havens,"Headline: Bond yields tumble as investors seek safe havens | Key points: bond, yields, tumble, investors, seek | Sentiment: positive",General
2025-07-14,Utilities sector remains stable during market fluctuations,Utilities sector remains stable during market fluctuations,Consumer Confidence Report,Neutral,ExxonMobil,Media & Entertainment,High,0.0,Utilities sector remains stable during market fluctuations,"Headline: Utilities sector remains stable during market fluctuations | Key points: utilities, sector, remains, stable, during | Sentiment: neutral",Innovation
2025-07-30,Financial sector bracing for new capital requirements,Financial sector bracing for new capital requirements,Inflation Data Release,Neutral,Microsoft,Healthcare,Low,0.06818181818181818,Financial sector bracing for new capital requirements,"Headline: Financial sector bracing for new capital requirements | Key points: financial, sector, bracing, capital, requirements | Sentiment: positive",General
2025-05-20,Consumer Discretionary stocks outperform as spending increases,Consumer Discretionary stocks outperform as spending increases,Commodity Price Shock,Positive,Apple Inc.,Retail,Medium,0.0,Consumer Discretionary stocks outperform as spending increases,"Headline: Consumer Discretionary stocks outperform as spending increases | Key points: consumer, discretionary, stocks, outperform, spending | Sentiment: neutral",General
2025-03-23,Quarterly report shows surprising losses for retail giants,Quarterly report shows surprising losses for retail giants,Economic Data Release,Positive,Reliance Industries,Energy,Low,0.7,Quarterly report shows surprising losses for retail giants,"Headline: Quarterly report shows surprising losses for retail giants | Key points: quarterly, report, shows, surprising, losses | Sentiment: positive",Innovation
2025-08-14,Major oil spill sends energy stocks plummeting,Major oil spill sends energy stocks plummeting,Currency Devaluation,Negative,Samsung Electronics,Transportation,Low,0.0625,Major oil spill sends energy stocks plummeting,"Headline: Major oil spill sends energy stocks plummeting | Key points: major, spill, sends, energy, stocks | Sentiment: positive",General
2025-03-22,China's Shanghai Composite falls after new trade restrictions,China's Shanghai Composite falls after new trade restrictions,Economic Data Release,Positive,Tata Motors,Utilities,Low,0.13636363636363635,China's Shanghai Composite falls after new trade restrictions,"Headline: China's Shanghai Composite falls after new trade restrictions | Key points: china, shanghai, composite, falls, after | Sentiment: positive",Innovation
2025-05-02,Healthcare stocks gain on robust demand and strong outlook,Healthcare stocks gain on robust demand and strong outlook,Unemployment Rate Announcement,Positive,Microsoft,Industrials,Low,0.43333333333333335,Healthcare stocks gain on robust demand and strong outlook,"Headline: Healthcare stocks gain on robust demand and strong outlook | Key points: healthcare, stocks, gain, robust, demand | Sentiment: positive",Innovation
2025-05-09,Retail sales report surpasses all forecasts,Retail sales report surpasses all forecasts,Unemployment Rate Announcement,Neutral,JP Morgan Chase,Agriculture,Low,0.0,Retail sales report surpasses all forecasts,"Headline: Retail sales report surpasses all forecasts | Key points: retail, sales, report, surpasses, forecasts | Sentiment: neutral",Innovation
2025-06-25,Government spending bill is expected to stimulate the economy,Government spending bill is expected to stimulate the economy,Commodity Price Shock,Negative,Boeing,Pharmaceuticals,Low,-0.1,Government spending bill is expected to stimulate the economy,"Headline: Government spending bill is expected to stimulate the economy | Key points: government, spending, bill, expected, stimulate | Sentiment: negative",General
2025-06-13,Bond yields tumble as investors seek safe havens,Bond yields tumble as investors seek safe havens,Stock Market Crash,,Tata Motors,Aerospace & Defense,High,0.5,Bond yields tumble as investors seek safe havens,"Headline: Bond yields tumble as investors seek safe havens | Key points: bond, yields, tumble, investors, seek | Sentiment: positive",General
2025-07-13,Government spending bill is expected to stimulate the economy,Government spending bill is expected to stimulate the economy,Cryptocurrency Regulation,Negative,Apple Inc.,Agriculture,Low,-0.1,Government spending bill is expected to stimulate the economy,"Headline: Government spending bill is expected to stimulate the economy | Key points: government, spending, bill, expected, stimulate | Sentiment: negative",General
2025-02-24,Financial sector bracing for new capital requirements,Financial sector bracing for new capital requirements,Cryptocurrency Regulation,,Microsoft,Industrials,Medium,0.06818181818181818,Financial sector bracing for new capital requirements,"Headline: Financial sector bracing for new capital requirements | Key points: financial, sector, bracing, capital, requirements | Sentiment: positive",General
2025-05-02,Financial services stocks rally on strong profit margins,Financial services stocks rally on strong profit margins,Cryptocurrency Regulation,Negative,Microsoft,Materials,High,0.21666666666666667,Financial services stocks rally on strong profit margins,"Headline: Financial services stocks rally on strong profit margins | Key points: financial, services, stocks, rally, strong | Sentiment: positive",Earnings
2025-05-15,Government subsidy program gives a lift to the agriculture sector,Government subsidy program gives a lift to the agriculture sector,Central Bank Meeting,Positive,Microsoft,Agriculture,Low,0.0,Government subsidy program gives a lift to the agriculture sector,"Headline: Government subsidy program gives a lift to the agriculture sector | Key points: government, subsidy, program, gives, lift | Sentiment: neutral",General
2025-06-09,Federal Reserve Chairman's speech causes market volatility,Federal Reserve Chairman's speech causes market volatility,Consumer Confidence Report,Positive,Reliance Industries,Transportation,Low,0.0,Federal Reserve Chairman's speech causes market volatility,"Headline: Federal Reserve Chairman's speech causes market volatility | Key points: federal, reserve, chairman, speech, causes | Sentiment: neutral",Macro
2025-07-20,Gold prices surge as investors flee riskier assets,Gold prices surge as investors flee riskier assets,Government Policy Announcement,Positive,ExxonMobil,Telecommunications,Medium,0.0,Gold prices surge as investors flee riskier assets,"Headline: Gold prices surge as investors flee riskier assets | Key points: gold, prices, surge, investors, flee | Sentiment: neutral",General
2025-04-05,Real Estate sector shows signs of overheating as interest rates fall,Real Estate sector shows signs of overheating as interest rates fall,Geopolitical Event,Neutral,ExxonMobil,Agriculture,Low,0.2,Real Estate sector shows signs of overheating as interest rates fall,"Headline: Real Estate sector shows signs of overheating as interest rates fall | Key points: real, estate, sector, shows, signs | Sentiment: positive",Macro
2025-07-01,Semiconductor shortages weigh heavily on tech sector profits,Semiconductor shortages weigh heavily on tech sector profits,Major Merger/Acquisition,Positive,ExxonMobil,Real Estate,High,-0.2,Semiconductor shortages weigh heavily on tech sector profits,"Headline: Semiconductor shortages weigh heavily on tech sector profits | Key points: semiconductor, shortages, weigh, heavily, tech | Sentiment: negative",Earnings
2025-03-21,Semiconductor shortages weigh heavily on tech sector profits,Semiconductor shortages weigh heavily on tech sector profits,Economic Data Release,Neutral,Goldman Sachs,Utilities,Low,-0.2,Semiconductor shortages weigh heavily on tech sector profits,"Headline: Semiconductor shortages weigh heavily on tech sector profits | Key points: semiconductor, shortages, weigh, heavily, tech | Sentiment: negative",Earnings
2025-05-07,Gold prices surge as investors flee riskier assets,Gold prices surge as investors flee riskier assets,Trade Tariffs Announcement,Neutral,Tesla,Media & Entertainment,Medium,0.0,Gold prices surge as investors flee riskier assets,"Headline: Gold prices surge as investors flee riskier assets | Key points: gold, prices, surge, investors, flee | Sentiment: neutral",General
2025-02-14,Government subsidy program gives a lift to the agriculture sector,Government subsidy program gives a lift to the agriculture sector,Corporate Earnings Report,Neutral,JP Morgan Chase,Healthcare,Medium,0.0,Government subsidy program gives a lift to the agriculture sector,"Headline: Government subsidy program gives a lift to the agriculture sector | Key points: government, subsidy, program, gives, lift | Sentiment: neutral",General
2025-04-27,nan,nan,Market Rally,Negative,Tata Motors,Automotive,High,0.0,nan,Headline: nan | Key points:  | Sentiment: neutral,General
2025-05-15,Geopolitical ceasefire prompts a broad market recovery,Geopolitical ceasefire prompts a broad market recovery,Corporate Earnings Report,Neutral,Reliance Industries,Materials,High,0.0625,Geopolitical ceasefire prompts a broad market recovery,"Headline: Geopolitical ceasefire prompts a broad market recovery | Key points: geopolitical, ceasefire, prompts, broad, market | Sentiment: positive",General
2025-02-09,Massive stock buyback program announced by a consumer goods company,Massive stock buyback program announced by a consumer goods company,Corporate Earnings Report,Positive,ExxonMobil,Agriculture,Medium,0.0,Massive stock buyback program announced by a consumer goods company,"Headline: Massive stock buyback program announced by a consumer goods company | Key points: massive, stock, buyback, program, announced | Sentiment: neutral",General
2025-06-15,Media and Entertainment companies report a surge in streaming revenue,Media and Entertainment companies report a surge in streaming revenue,Economic Data Release,Neutral,Boeing,Consumer Goods,Low,0.0,Media and Entertainment companies report a surge in streaming revenue,"Headline: Media and Entertainment companies report a surge in streaming revenue | Key points: media, entertainment, companies, report, surge | Sentiment: neutral",Earnings
2025-03-16,A massive data breach sends a tech company's stock tumbling,A massive data breach sends a tech company's stock tumbling,Unemployment Rate Announcement,Neutral,Boeing,Automotive,Medium,0.0,A massive data breach sends a tech company's stock tumbling,"Headline: A massive data breach sends a tech company's stock tumbling | Key points: massive, data, breach, sends, tech | Sentiment: neutral",Innovation
2025-06-21,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Major Merger/Acquisition,Neutral,Tesla,Transportation,High,-0.04583333333333334,Major technology firm acquires a smaller rival in a multi-billion dollar deal,"Headline: Major technology firm acquires a smaller rival in a multi-billion dollar deal | Key points: major, technology, firm, acquires, smaller | Sentiment: negative",Innovation
2025-03-18,Geopolitical ceasefire prompts a broad market recovery,Geopolitical ceasefire prompts a broad market recovery,Stock Market Crash,Neutral,Tesla,Materials,Low,0.0625,Geopolitical ceasefire prompts a broad market recovery,"Headline: Geopolitical ceasefire prompts a broad market recovery | Key points: geopolitical, ceasefire, prompts, broad, market | Sentiment: positive",General
2025-03-15,Mining company stock surges on commodity price boom,Mining company stock surges on commodity price boom,Market Rally,,JP Morgan Chase,Finance,Low,0.0,Mining company stock surges on commodity price boom,"Headline: Mining company stock surges on commodity price boom | Key points: mining, company, stock, surges, commodity | Sentiment: neutral",General
2025-06-08,Healthcare stocks gain on robust demand and strong outlook,Healthcare stocks gain on robust demand and strong outlook,Inflation Data Release,Neutral,Samsung Electronics,Materials,Medium,0.43333333333333335,Healthcare stocks gain on robust demand and strong outlook,"Headline: Healthcare stocks gain on robust demand and strong outlook | Key points: healthcare, stocks, gain, robust, demand | Sentiment: positive",Innovation
2025-05-23,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Consumer Confidence Report,Positive,Apple Inc.,Construction,Low,-0.04583333333333334,Major technology firm acquires a smaller rival in a multi-billion dollar deal,"Headline: Major technology firm acquires a smaller rival in a multi-billion dollar deal | Key points: major, technology, firm, acquires, smaller | Sentiment: negative",Innovation
2025-03-31,Central Bank Governor signals potential shift in policy,Central Bank Governor signals potential shift in policy,Interest Rate Change,Neutral,Boeing,Industrials,High,0.0,Central Bank Governor signals potential shift in policy,"Headline: Central Bank Governor signals potential shift in policy | Key points: central, bank, governor, signals, potential | Sentiment: neutral",Macro
2025-04-14,Banking stocks dip after a major scandal is revealed,Banking stocks dip after a major scandal is revealed,Cryptocurrency Regulation,Negative,Boeing,Agriculture,Low,0.0625,Banking stocks dip after a major scandal is revealed,"Headline: Banking stocks dip after a major scandal is revealed | Key points: banking, stocks, after, major, scandal | Sentiment: positive",Macro
2025-07-15,Financial sector bracing for new capital requirements,Financial sector bracing for new capital requirements,IPO Launch,Positive,Tesla,Aerospace & Defense,Low,0.06818181818181818,Financial sector bracing for new capital requirements,"Headline: Financial sector bracing for new capital requirements | Key points: financial, sector, bracing, capital, requirements | Sentiment: positive",General
2025-07-13,Aerospace and Defense sector sees rally amid geopolitical tensions,Aerospace and Defense sector sees rally amid geopolitical tensions,Commodity Price Shock,,Tata Motors,Real Estate,High,0.0,Aerospace and Defense sector sees rally amid geopolitical tensions,"Headline: Aerospace and Defense sector sees rally amid geopolitical tensions | Key points: aerospace, defense, sector, sees, rally | Sentiment: neutral",General
2025-06-15,Bond yields tumble as investors seek safe havens,Bond yields tumble as investors seek safe havens,Geopolitical Event,Positive,ExxonMobil,Industrials,Low,0.5,Bond yields tumble as investors seek safe havens,"Headline: Bond yields tumble as investors seek safe havens | Key points: bond, yields, tumble, investors, seek | Sentiment: positive",General
2025-05-20,UK's FTSE 100 sees a boost from favorable trade data,UK's FTSE 100 sees a boost from favorable trade data,Corporate Earnings Report,Neutral,Goldman Sachs,Technology,Medium,0.0,UK's FTSE 100 sees a boost from favorable trade data,"Headline: UK's FTSE 100 sees a boost from favorable trade data | Key points: ftse, sees, boost, from, favorable | Sentiment: neutral",General
2025-03-06,Government subsidy program gives a lift to the agriculture sector,Government subsidy program gives a lift to the agriculture sector,Commodity Price Shock,Positive,Apple Inc.,Transportation,High,0.0,Government subsidy program gives a lift to the agriculture sector,"Headline: Government subsidy program gives a lift to the agriculture sector | Key points: government, subsidy, program, gives, lift | Sentiment: neutral",General
2025-06-10,Semiconductor shortages weigh heavily on tech sector profits,Semiconductor shortages weigh heavily on tech sector profits,Interest Rate Change,Positive,Microsoft,Agriculture,Medium,-0.2,Semiconductor shortages weigh heavily on tech sector profits,"Headline: Semiconductor shortages weigh heavily on tech sector profits | Key points: semiconductor, shortages, weigh, heavily, tech | Sentiment: negative",Earnings
2025-06-17,New housing data release shows a slowdown in market activity,New housing data release shows a slowdown in market activity,Unemployment Rate Announcement,Positive,Tesla,Telecommunications,Low,0.13636363636363635,New housing data release shows a slowdown in market activity,"Headline: New housing data release shows a slowdown in market activity | Key points: housing, data, release, shows, slowdown | Sentiment: positive",General
2025-02-02,Utilities sector remains stable during market fluctuations,Utilities sector remains stable during market fluctuations,Economic Data Release,Negative,Tata Motors,Energy,High,0.0,Utilities sector remains stable during market fluctuations,"Headline: Utilities sector remains stable during market fluctuations | Key points: utilities, sector, remains, stable, during | Sentiment: neutral",Innovation
2025-07-17,Central bank maintains status quo on interest rates,Central bank maintains status quo on interest rates,Trade Tariffs Announcement,Negative,Samsung Electronics,Agriculture,High,0.0,Central bank maintains status quo on interest rates,"Headline: Central bank maintains status quo on interest rates | Key points: central, bank, maintains, status, interest | Sentiment: neutral",Macro
2025-02-15,E-commerce earnings report beats all analyst expectations,E-commerce earnings report beats all analyst expectations,Supply Chain Disruption,Negative,Microsoft,Finance,High,0.0,E-commerce earnings report beats all analyst expectations,"Headline: E-commerce earnings report beats all analyst expectations | Key points: commerce, earnings, report, beats, analyst | Sentiment: neutral",Earnings
2025-05-18,Unexpected rise in unemployment fuels market pessimism,Unexpected rise in unemployment fuels market pessimism,Government Policy Announcement,Negative,JP Morgan Chase,Consumer Goods,Low,0.1,Unexpected rise in unemployment fuels market pessimism,"Headline: Unexpected rise in unemployment fuels market pessimism | Key points: unexpected, rise, unemployment, fuels, market | Sentiment: positive",General
2025-02-18,Merger talks between two banks fall through,Merger talks between two banks fall through,Cryptocurrency Regulation,Neutral,Microsoft,Retail,High,0.0,Merger talks between two banks fall through,"Headline: Merger talks between two banks fall through | Key points: merger, talks, between, banks, fall | Sentiment: neutral",M&A
2025-05-24,Automotive industry faces headwinds from rising material costs,Automotive industry faces headwinds from rising material costs,Major Merger/Acquisition,Neutral,Boeing,Finance,High,0.0,Automotive industry faces headwinds from rising material costs,"Headline: Automotive industry faces headwinds from rising material costs | Key points: automotive, industry, faces, headwinds, from | Sentiment: neutral",General
2025-06-05,Geopolitical ceasefire prompts a broad market recovery,Geopolitical ceasefire prompts a broad market recovery,Interest Rate Change,Negative,Reliance Industries,Finance,High,0.0625,Geopolitical ceasefire prompts a broad market recovery,"Headline: Geopolitical ceasefire prompts a broad market recovery | Key points: geopolitical, ceasefire, prompts, broad, market | Sentiment: positive",General
2025-02-11,New IPO for a popular software firm is oversubscribed,New IPO for a popular software firm is oversubscribed,Bond Market Fluctuation,Positive,Reliance Industries,Media & Entertainment,Medium,0.1787878787878788,New IPO for a popular software firm is oversubscribed,"Headline: New IPO for a popular software firm is oversubscribed | Key points: popular, software, firm, oversubscribed | Sentiment: positive",General
2025-07-28,Massive stock buyback program announced by a consumer goods company,Massive stock buyback program announced by a consumer goods company,Regulatory Changes,Positive,Goldman Sachs,Construction,Low,0.0,Massive stock buyback program announced by a consumer goods company,"Headline: Massive stock buyback program announced by a consumer goods company | Key points: massive, stock, buyback, program, announced | Sentiment: neutral",General
2025-06-05,Market sentiment turns positive on vaccine trial results,Market sentiment turns positive on vaccine trial results,Bond Market Fluctuation,Neutral,Tata Motors,Media & Entertainment,Medium,0.22727272727272727,Market sentiment turns positive on vaccine trial results,"Headline: Market sentiment turns positive on vaccine trial results | Key points: market, sentiment, turns, positive, vaccine | Sentiment: positive",General
2025-03-16,Financial services stocks rally on strong profit margins,Financial services stocks rally on strong profit margins,Bond Market Fluctuation,Positive,Boeing,Utilities,Medium,0.21666666666666667,Financial services stocks rally on strong profit margins,"Headline: Financial services stocks rally on strong profit margins | Key points: financial, services, stocks, rally, strong | Sentiment: positive",Earnings
2025-05-05,Gold prices surge as investors flee riskier assets,Gold prices surge as investors flee riskier assets,Government Policy Announcement,Negative,Tata Motors,Transportation,Low,0.0,Gold prices surge as investors flee riskier assets,"Headline: Gold prices surge as investors flee riskier assets | Key points: gold, prices, surge, investors, flee | Sentiment: neutral",General
2025-04-07,Central bank maintains status quo on interest rates,Central bank maintains status quo on interest rates,Central Bank Meeting,Positive,Goldman Sachs,Transportation,Low,0.0,Central bank maintains status quo on interest rates,"Headline: Central bank maintains status quo on interest rates | Key points: central, bank, maintains, status, interest | Sentiment: neutral",Macro
2025-08-05,Geopolitical ceasefire prompts a broad market recovery,Geopolitical ceasefire prompts a broad market recovery,Currency Devaluation,Neutral,Goldman Sachs,Media & Entertainment,Low,0.0625,Geopolitical ceasefire prompts a broad market recovery,"Headline: Geopolitical ceasefire prompts a broad market recovery | Key points: geopolitical, ceasefire, prompts, broad, market | Sentiment: positive",General
2025-06-07,Government subsidy program gives a lift to the agriculture sector,Government subsidy program gives a lift to the agriculture sector,Supply Chain Disruption,Negative,Tata Motors,Consumer Goods,High,0.0,Government subsidy program gives a lift to the agriculture sector,"Headline: Government subsidy program gives a lift to the agriculture sector | Key points: government, subsidy, program, gives, lift | Sentiment: neutral",General
2025-02-04,Major oil spill sends energy stocks plummeting,Major oil spill sends energy stocks plummeting,Economic Data Release,Negative,Apple Inc.,Healthcare,Medium,0.0625,Major oil spill sends energy stocks plummeting,"Headline: Major oil spill sends energy stocks plummeting | Key points: major, spill, sends, energy, stocks | Sentiment: positive",General
2025-06-18,Government subsidy program gives a lift to the agriculture sector,Government subsidy program gives a lift to the agriculture sector,Geopolitical Event,,Boeing,Telecommunications,Low,0.0,Government subsidy program gives a lift to the agriculture sector,"Headline: Government subsidy program gives a lift to the agriculture sector | Key points: government, subsidy, program, gives, lift | Sentiment: neutral",General
2025-05-14,Media and Entertainment companies report a surge in streaming revenue,Media and Entertainment companies report a surge in streaming revenue,IPO Launch,,Tesla,Agriculture,High,0.0,Media and Entertainment companies report a surge in streaming revenue,"Headline: Media and Entertainment companies report a surge in streaming revenue | Key points: media, entertainment, companies, report, surge | Sentiment: neutral",Earnings
2025-03-06,"Global trade talks collapse, causing market turmoil","Global trade talks collapse, causing market turmoil",Trade Tariffs Announcement,Positive,Goldman Sachs,Agriculture,High,0.0,"Global trade talks collapse, causing market turmoil","Headline: Global trade talks collapse, causing market turmoil | Key points: global, trade, talks, collapse, causing | Sentiment: neutral",General
2025-03-25,Energy company's dividend hike excites shareholders,Energy company's dividend hike excites shareholders,Economic Data Release,Negative,Samsung Electronics,Energy,High,0.0,Energy company's dividend hike excites shareholders,"Headline: Energy company's dividend hike excites shareholders | Key points: energy, company, dividend, hike, excites | Sentiment: neutral",General
2025-02-17,Government policy shift boosts renewable energy sector,Government policy shift boosts renewable energy sector,Supply Chain Disruption,Positive,Reliance Industries,Transportation,Medium,0.0,Government policy shift boosts renewable energy sector,"Headline: Government policy shift boosts renewable energy sector | Key points: government, policy, shift, boosts, renewable | Sentiment: neutral",General
